Name,Publisher,Global_Sales
Astro Boy,Sega,0.09
Astro Boy: Omega Factor,THQ,0.09
Astro Boy: The Video Game,D3Publisher,0.11
Astro Boy: The Video Game,D3Publisher,0.11
Asura's Wrath,Capcom,0.4
Asura's Wrath,Capcom,0.24
Atari Anthology,Atari,0.4
Atari Classics Evolved,Atari,0.09
Atelier Annie: Alchemists of Sera Island,Gust,0.12
Atelier Ayesha: The Alchemist of Dusk,Tecmo Koei,0.26
Atelier Iris: Eternal Mana,Tecmo Koei,0.15
Atelier Iris 2: The Azoth Of Destiny,Tecmo Koei,0.06
Atelier Shallie: Alchemists of the Dusk Sea,Tecmo Koei,0.18
Atelier Sophie: The Alchemist of the Mysterious Book,Tecmo Koei,0.12
Atelier Totori: The Adventurer of Arland,Nippon Ichi Software,0.42
Athens 2004,Sony Computer Entertainment,0.27
Atomic Betty,Atari,0.03
Attack of the Movies 3D,Majesco Entertainment,0.04
Attack on Titan: Humanity in Chains,Screenlife,0.42
ATV Offroad Fury,Sony Computer Entertainment,2.41
ATV Offroad Fury: Blazin' Trails,SouthPeak Games,0.57
ATV Offroad Fury 2,THQ,2.18
ATV Offroad Fury 3,SouthPeak Games,1.2
ATV Quad Power Racing 2,Acclaim Entertainment,0.28
Auto Modellista,Capcom,0.39
Avalon Code,Rising Star Games,0.24
A Vampyre Story,Crimson Cow,0.02
Avatar: The Last Airbender,THQ,0.5
Avatar: The Last Airbender,THQ,0.33
Avatar: The Last Airbender,THQ,0.28
Avatar: The Last Airbender,THQ,0.11
A Witch's Tale,Nippon Ichi Software,0.11
Azure Striker Gunvolt,Yacht Club Games,0.01
Azurik: Rise of Perathia,Microsoft Game Studios,0.24
Back to the Future: The Game,Telltale Games,0.09
Back to the Future: The Game,Telltale Games,0.05
Backyard Baseball,Infogrames,0.13
Backyard Baseball '09,Atari,0.04
Backyard Wrestling: Don't Try This at Home,Eidos Interactive,0.6
Backyard Wrestling: Don't Try This at Home,Eidos Interactive,0.17
Backyard Wrestling 2: There Goes the Neighborhood,Eidos Interactive,0.28
Bad Boys: Miami Takedown,Empire Interactive,1.15
Bad Boys: Miami Takedown,Empire Interactive,0.18
Bad Boys: Miami Takedown,Empire Interactive,0.05
Baja: Edge of Control,THQ,0.21
Baja: Edge of Control,THQ,0.2
Bakugan: Battle Brawlers,Activision,1.38
Bakugan: Battle Brawlers,Activision,0.66
Bakugan: Battle Brawlers,Activision,0.24
Bakugan: Battle Brawlers,Activision,0.23
Baldur's Gate: Dark Alliance,Virgin Interactive,1.24
Baldur's Gate: Dark Alliance,Virgin Interactive,0.2
Baldur's Gate: Dark Alliance,Virgin Interactive,0.14
