Name,User_Score
Boom Blox Bash Party,8.4
Borderlands,8.2
Borderlands,7.9
Borderlands,7.8
Borderlands: The Handsome Collection,7.8
Borderlands: The Handsome Collection,7.8
Borderlands: The Pre-Sequel,6.4
Borderlands: The Pre-Sequel,6.3
Borderlands: The Pre-Sequel,6.2
Borderlands 2,8.2
Borderlands 2,8.2
Borderlands 2,8.2
Borderlands 2,7.6
Botanicula,8.3
Bound By Flame,5.9
Bounty Hounds,6
Braid,8.6
Brain Age: Concentration Training,7.9
Brain Age: Train Your Brain in Minutes a Day,7.9
Brain Age 2: More Training in Minutes a Day,7.1
Brain Boost: Beta Wave,2.5
Brain Challenge,7
Brandish: The Dark Revenant,8.3
Bratz: Rock Angelz,5.1
Brave: A Warrior's Tale,5
Brave Fencer Musashi,8.5
Bravely Second: End Layer,7.4
Breach,5.8
Breakdown,8.2
Breath of Fire,8.8
Breath of Fire: Dragon Quarter,6.9
Breath of Fire II,8.8
Breath of Fire IV,8.9
Brink,5.8
Brink,5.8
Brink,6
Britney's Dance Beat,4.8
Britney's Dance Beat,7.4
Broken Sword: Shadow of the Templars - The Director's Cut,8.1
Broken Sword: The Shadow of the Templars,7.8
Broken Sword: The Sleeping Dragon,8.3
Broken Sword 5: The Serpent's Curse,7.2
Broken Sword 5: The Serpent's Curse,7.2
Brothers: A Tale of Two Sons,8.6
Brothers: A Tale of Two Sons,8.9
Brothers In Arms: D-Day,9.1
Brothers in Arms: Double Time,6.6
Brothers In Arms: Earned in Blood,7.9
Brothers In Arms: Earned in Blood,8.6
Brothers in Arms: Hell's Highway,8
Brothers in Arms: Hell's Highway,8.3
Brothers in Arms: Hell's Highway,7.9
Brothers In Arms: Road to Hill 30,8
Brothers In Arms: Road to Hill 30,7.6
Brothers In Arms DS,8
Bruce Lee: Quest of the Dragon,2.4
Brunswick Pro Bowling,5.4
Brutal Legend,8
Brutal Legend,7.6
Brute Force,7.8
Bubble Bobble Double Shot,4.8
Bubble Bobble Revolution,6.2
Buffy the Vampire Slayer,9.1
Buffy the Vampire Slayer: Chaos Bleeds,8.9
Buffy the Vampire Slayer: Chaos Bleeds,8.4
Buffy the Vampire Slayer: Chaos Bleeds,9
Buffy the Vampire Slayer: Wrath of the Darkhul King,8.6
Build-A-Bear Workshop,4.8
Bujingai: The Forsaken City,7.5
Bulletstorm,7.6
Bulletstorm,7.7
Bulletstorm,7.7
Bullet Witch,6.1
Bully,9.1
Bully: Scholarship Edition,8.3
Bully: Scholarship Edition,8.4
Bully: Scholarship Edition,7.5
Burnout,7.7
Burnout,7.9
Burnout,6.6
Burnout 2: Point of Impact,8.2
Burnout 2: Point of Impact,5.1
Burnout 2: Point of Impact,8.5
Burnout 3: Takedown,9.1
Burnout 3: Takedown,7.2
Burnout Dominator,8.2
Burnout Legends,8.4
Burnout Legends,6
Burnout Paradise,7.7
Burnout Paradise,6.9
Burnout Paradise: The Ultimate Box,7.5
Burnout Revenge,8.8
Burnout Revenge,8.4
Burnout Revenge,8.1
Bushido Blade,7.9
Bus Simulator 16,6.1
Bust A Groove 2,8.9
