Name,Critic_Score
Brothers in Arms: Hell's Highway,79
Brothers In Arms: Road to Hill 30,88
Brothers In Arms: Road to Hill 30,82
Brothers In Arms DS,72
Bruce Lee: Quest of the Dragon,32
Brunswick Pro Bowling,52
Brutal Legend,82
Brutal Legend,83
Brute Force,77
Bubble Bobble Double Shot,50
Bubble Bobble Revolution,38
Buffy the Vampire Slayer,79
Buffy the Vampire Slayer: Chaos Bleeds,72
Buffy the Vampire Slayer: Chaos Bleeds,73
Buffy the Vampire Slayer: Chaos Bleeds,75
Buffy the Vampire Slayer: Wrath of the Darkhul King,44
Build-A-Bear Workshop,61
Bujingai: The Forsaken City,72
Bulletstorm,84
Bulletstorm,83
Bulletstorm,82
Bullet Witch,55
Bully,87
Bully: Scholarship Edition,80
Bully: Scholarship Edition,83
Bully: Scholarship Edition,72
Burnout,79
Burnout,78
Burnout,75
Burnout 2: Point of Impact,86
Burnout 2: Point of Impact,88
Burnout 2: Point of Impact,89
Burnout 3: Takedown,93
Burnout 3: Takedown,94
Burnout Dominator,76
Burnout Legends,86
Burnout Legends,38
Burnout Paradise,87
Burnout Paradise,88
Burnout Paradise: The Ultimate Box,87
Burnout Revenge,90
Burnout Revenge,89
Burnout Revenge,89
Bushido Blade,83
Bus Simulator 16,46
Bust A Groove 2,66
Bust-A-Move DS,75
Bust-A-Move Universe,49
Buzz Lightyear of Star Command,54
C.O.P.: The Recruit,55
C.O.R.E.,44
Cabela's African Safari,53
Cabela's Alaskan Adventure,48
Cabela's Big Game Hunter,59
Cabela's Big Game Hunter 2005 Adventures,55
Cabela's Big Game Hunter 2005 Adventures,65
Cabela's Dangerous Hunts,57
Cabela's Dangerous Hunts 2009,39
Cabela's Dangerous Hunts 2011,60
Cabela's Deer Hunt: 2004 Season,65
Cabela's Deer Hunt 2005 Season,59
Cabela's North American Adventures,51
Cabela's Trophy Bucks,39
Caesar IV,74
Cake Mania,55
Calling,49
Call of Cthulhu: Dark Corners of the Earth,77
Call of Duty: Advanced Warfare,83
Call of Duty: Advanced Warfare,81
Call of Duty: Advanced Warfare,78
Call of Duty: Black Ops,87
Call of Duty: Black Ops,88
Call of Duty: Black Ops,80
Call of Duty: Black Ops,74
Call of Duty: Black Ops II,83
Call of Duty: Black Ops II,83
Call of Duty: Black Ops II,74
Call of Duty: Black Ops II,81
Call of Duty: Finest Hour,76
Call of Duty: Finest Hour,73
Call of Duty: Finest Hour,74
Call of Duty: Ghosts,73
Call of Duty: Ghosts,71
Call of Duty: Ghosts,78
Call of Duty: Ghosts,78
Call of Duty: Ghosts,69
Call of Duty: Infinite Warfare,77
Call of Duty: Infinite Warfare,78
Call of Duty: Infinite Warfare,73
Call of Duty: Modern Warfare 2,94
Call of Duty: Modern Warfare 2,94
Call of Duty: Modern Warfare 2,86
Call of Duty: Modern Warfare 3,88
